"sample_id","source_video_id","split"
"_01AyUz9J9I.002","_01AyUz9J9I","train"
"_01AyUz9J9I.005","_01AyUz9J9I","train"
"_0bg1TLPP-I.004","_0bg1TLPP-I","train"
"_0bg1TLPP-I.005","_0bg1TLPP-I","train"
"_2DSmy36OEM.001","_2DSmy36OEM","train"
"_7hGh6VU4IU.000","_7hGh6VU4IU","train"
"_7hGh6VU4IU.003","_7hGh6VU4IU","train"
"_7hGh6VU4IU.004","_7hGh6VU4IU","train"
"_7hGh6VU4IU.005","_7hGh6VU4IU","train"
"_7s27dUoYVg.000","_7s27dUoYVg","train"
"_7s27dUoYVg.003","_7s27dUoYVg","train"
"_bOOlidEWgY.001","_bOOlidEWgY","train"
"_fFmEyvWgfA.004","_fFmEyvWgfA","train"
"_fJcW5234bY.000","_fJcW5234bY","train"
"_fJcW5234bY.002","_fJcW5234bY","train"
"_fJcW5234bY.004","_fJcW5234bY","train"
"_G3kw9HwCqY.000","_G3kw9HwCqY","train"
"_G3kw9HwCqY.002","_G3kw9HwCqY","train"
"_G3kw9HwCqY.004","_G3kw9HwCqY","train"
"_G3kw9HwCqY.005","_G3kw9HwCqY","train"
"_g3M_MoFIvA.001","_g3M_MoFIvA","train"
"_g3M_MoFIvA.004","_g3M_MoFIvA","train"
"_g3M_MoFIvA.005","_g3M_MoFIvA","train"
"_GFregyrwfo.002","_GFregyrwfo","train"
"_GFregyrwfo.004","_GFregyrwfo","train"
"_GFregyrwfo.005","_GFregyrwfo","train"
"_hmiW83i0GY.000","_hmiW83i0GY","train"
"_hR9AD-eIy8.000","_hR9AD-eIy8","train"
"_hR9AD-eIy8.005","_hR9AD-eIy8","train"
"_IS6GFmQYj4.000","_IS6GFmQYj4","train"
"_IS6GFmQYj4.002","_IS6GFmQYj4","train"
"_IS6GFmQYj4.003","_IS6GFmQYj4","train"
"_IS6GFmQYj4.004","_IS6GFmQYj4","train"
"_kK9tGN883Y.000","_kK9tGN883Y","train"
"_kK9tGN883Y.004","_kK9tGN883Y","train"
"_LWrd9t4oZw.003","_LWrd9t4oZw","train"
"_mtiuHyOFXg.001","_mtiuHyOFXg","train"
"_mtiuHyOFXg.003","_mtiuHyOFXg","train"
"_mtiuHyOFXg.005","_mtiuHyOFXg","train"
"_plk5k7PBEg.001","_plk5k7PBEg","train"
"_Py_lytyY5A.005","_Py_lytyY5A","train"
"_Q4wOgixh7E.000","_Q4wOgixh7E","train"
"_QXI4n_FRN4.005","_QXI4n_FRN4","train"
"_RAGzfJnpUE.001","_RAGzfJnpUE","train"
"_RAGzfJnpUE.003","_RAGzfJnpUE","train"
"_S_bWJwqsmM.004","_S_bWJwqsmM","train"
"_S_bWJwqsmM.005","_S_bWJwqsmM","train"
"_tOtBfJlWFs.000","_tOtBfJlWFs","train"
"_UnoRkHkYB8.003","_UnoRkHkYB8","train"
"_uNup91ZYw0.001","_uNup91ZYw0","train"
"_uNup91ZYw0.002","_uNup91ZYw0","train"
"_VsE38xSmdM.001","_VsE38xSmdM","train"
"_X6_C_Oy9VA.000","_X6_C_Oy9VA","train"
"_X6_C_Oy9VA.001","_X6_C_Oy9VA","train"
"_X6_C_Oy9VA.003","_X6_C_Oy9VA","train"
"_X6_C_Oy9VA.004","_X6_C_Oy9VA","train"
"_X6_C_Oy9VA.005","_X6_C_Oy9VA","train"
"_YYBXI2mXv4.000","_YYBXI2mXv4","train"
"_ZAqTHlu2ts.001","_ZAqTHlu2ts","train"
"_ZAqTHlu2ts.004","_ZAqTHlu2ts","train"
"_ZAqTHlu2ts.005","_ZAqTHlu2ts","train"
"_zI6qgTJOSA.005","_zI6qgTJOSA","train"
"_ZjEr8ybbFM.000","_ZjEr8ybbFM","train"
"_zs9K5Gtkwo.002","_zs9K5Gtkwo","train"
"_zs9K5Gtkwo.003","_zs9K5Gtkwo","train"
"_ztmNiy8D3c.000","_ztmNiy8D3c","train"
"_ztmNiy8D3c.001","_ztmNiy8D3c","train"
"_ztmNiy8D3c.003","_ztmNiy8D3c","train"
"0_xOGmydDN0.001","0_xOGmydDN0","train"
"0_xOGmydDN0.002","0_xOGmydDN0","train"
"0_xOGmydDN0.003","0_xOGmydDN0","train"
"0_xOGmydDN0.004","0_xOGmydDN0","train"
"01qN-BqJXRM.005","01qN-BqJXRM","train"
"04oq2yrBwMg.001","04oq2yrBwMg","train"
"04oq2yrBwMg.004","04oq2yrBwMg","train"
"05l5bteT_qA.000","05l5bteT_qA","train"
"05l5bteT_qA.001","05l5bteT_qA","train"
"0axZSeaUbfs.002","0axZSeaUbfs","train"
"0axZSeaUbfs.004","0axZSeaUbfs","train"
"0axZSeaUbfs.005","0axZSeaUbfs","train"
"0C6i34q2-f8.000","0C6i34q2-f8","train"
"0C6i34q2-f8.001","0C6i34q2-f8","train"
"0C6i34q2-f8.003","0C6i34q2-f8","train"
"0D7W2pR4RpQ.004","0D7W2pR4RpQ","train"
"0dIqLMMn4jY.000","0dIqLMMn4jY","train"
"0fMw9o1v2tY.001","0fMw9o1v2tY","train"
"0fMw9o1v2tY.002","0fMw9o1v2tY","train"
"0fMw9o1v2tY.003","0fMw9o1v2tY","train"
"0FVu7VKIg2s.000","0FVu7VKIg2s","train"
"0G9vplL8ae8.001","0G9vplL8ae8","train"
"0G9vplL8ae8.003","0G9vplL8ae8","train"
"0gv5Z0qt2jc.000","0gv5Z0qt2jc","train"
"0gv5Z0qt2jc.001","0gv5Z0qt2jc","train"
"0gv5Z0qt2jc.002","0gv5Z0qt2jc","train"
"0gv5Z0qt2jc.003","0gv5Z0qt2jc","train"
"0gv5Z0qt2jc.004","0gv5Z0qt2jc","train"
"0gv5Z0qt2jc.005","0gv5Z0qt2jc","train"
"0hWbtuRVUgM.001","0hWbtuRVUgM","train"
"0hWbtuRVUgM.005","0hWbtuRVUgM","train"
"0iQIfGnKflc.001","0iQIfGnKflc","train"
"0iQIfGnKflc.002","0iQIfGnKflc","train"
"0iXXdsO95O0.000","0iXXdsO95O0","train"
"0kg6pmbSN6A.000","0kg6pmbSN6A","train"
"0kg6pmbSN6A.001","0kg6pmbSN6A","train"
"0kg6pmbSN6A.002","0kg6pmbSN6A","train"
"0kg6pmbSN6A.005","0kg6pmbSN6A","train"
"0LqfKzp11kg.000","0LqfKzp11kg","train"
"0MB91ku0eEw.003","0MB91ku0eEw","train"
"0mym1CooiTE.000","0mym1CooiTE","train"
"0mym1CooiTE.001","0mym1CooiTE","train"
"0mym1CooiTE.003","0mym1CooiTE","train"
"0mym1CooiTE.004","0mym1CooiTE","train"
"0n2vWTs6XwA.001","0n2vWTs6XwA","train"
"0ObEtA6Q8vU.002","0ObEtA6Q8vU","train"
"0ObEtA6Q8vU.003","0ObEtA6Q8vU","train"
"0ObEtA6Q8vU.005","0ObEtA6Q8vU","train"
"0QTR0WiJSNk.001","0QTR0WiJSNk","train"
"0RLFM1ehSFM.000","0RLFM1ehSFM","train"
"0tse0Fsy_rg.001","0tse0Fsy_rg","train"
"0tse0Fsy_rg.002","0tse0Fsy_rg","train"
"0tse0Fsy_rg.004","0tse0Fsy_rg","train"
"0u56Q_QmxIM.002","0u56Q_QmxIM","train"
"0u56Q_QmxIM.004","0u56Q_QmxIM","train"
"0uCqd5hZcyI.000","0uCqd5hZcyI","train"
"0uCqd5hZcyI.005","0uCqd5hZcyI","train"
"0VnZngec8sc.001","0VnZngec8sc","train"
"0VnZngec8sc.003","0VnZngec8sc","train"
"0VnZngec8sc.004","0VnZngec8sc","train"
"0Wr69VD_oXI.004","0Wr69VD_oXI","train"
"0zJcYnsh55g.003","0zJcYnsh55g","train"
"0ZK5jQAvhFo.004","0ZK5jQAvhFo","train"
"117jrwvl2Nc.000","117jrwvl2Nc","train"
"117jrwvl2Nc.004","117jrwvl2Nc","train"
"12Ezy1y1cWY.001","12Ezy1y1cWY","train"
"12Ezy1y1cWY.005","12Ezy1y1cWY","train"
"12Hbl_oZF9c.001","12Hbl_oZF9c","train"
"12Hbl_oZF9c.003","12Hbl_oZF9c","train"
"12lqQE6oPNE.001","12lqQE6oPNE","train"
"13kjwEtSyXc.000","13kjwEtSyXc","train"
"13kjwEtSyXc.002","13kjwEtSyXc","train"
"13kjwEtSyXc.004","13kjwEtSyXc","train"
"13KtmgntgQw.002","13KtmgntgQw","train"
"13XlKeC_p3U.000","13XlKeC_p3U","train"
"13XlKeC_p3U.001","13XlKeC_p3U","train"
"15yOT2ZolPE.002","15yOT2ZolPE","train"
"176vWywoq9E.000","176vWywoq9E","train"
"176vWywoq9E.001","176vWywoq9E","train"
"176vWywoq9E.002","176vWywoq9E","train"
"176vWywoq9E.004","176vWywoq9E","train"
"184MlJCcboQ.000","184MlJCcboQ","train"
"186c7kCyCHQ.005","186c7kCyCHQ","train"
"19cplBTXyoY.002","19cplBTXyoY","train"
"19pTUX8KfYM.000","19pTUX8KfYM","train"
"1AMp8Y_0UGc.000","1AMp8Y_0UGc","train"
"1AMp8Y_0UGc.002","1AMp8Y_0UGc","train"
"1AMp8Y_0UGc.004","1AMp8Y_0UGc","train"
"1cqwKxx6GF8.001","1cqwKxx6GF8","train"
"1cqwKxx6GF8.004","1cqwKxx6GF8","train"
"1cqwKxx6GF8.005","1cqwKxx6GF8","train"
"1CYzbX8AaP8.001","1CYzbX8AaP8","train"
"1CYzbX8AaP8.003","1CYzbX8AaP8","train"
"1DCnIad1Y0w.002","1DCnIad1Y0w","train"
"1dOaM7zWPo8.000","1dOaM7zWPo8","train"
"1eOvtoZCie8.000","1eOvtoZCie8","train"
"1eOvtoZCie8.002","1eOvtoZCie8","train"
"1eOvtoZCie8.004","1eOvtoZCie8","train"
"1eOvtoZCie8.005","1eOvtoZCie8","train"
"1fsFL_qNYlQ.001","1fsFL_qNYlQ","train"
"1fsFL_qNYlQ.005","1fsFL_qNYlQ","train"
"1-GgVRmAEoo.002","1-GgVRmAEoo","train"
"1-GgVRmAEoo.003","1-GgVRmAEoo","train"
